Partlist

Exported from Main_Board_Rev_A2.brd at 2017-06-08 11:09 AM

EAGLE Version 7.7.0 Copyright (c) 1988-2016 CadSoft

Assembly variant: 

Part     Value             Package             Library                        Position (mm)         Orientation

LED6     Red               CHIPLED_0603        led                            (89 74.5)             R0
LED7     Blue              CHIPLED_0603        led                            (88 12)               R180
LED8     Blue              CHIPLED_0603        led                            (80.5 12)             R180
LED9     Blue              CHIPLED_0603        led                            (84.5 12)             R180
LED10    Blue              CHIPLED_0603        led                            (48.35 73.05)         R180
MP1      MOUNT-PAD3,0      P3,0                holes                          (4 96)                R0
MP2      MOUNT-PAD3,0      P3,0                holes                          (96 96)               R0
MP3      MOUNT-PAD3,0      P3,0                holes                          (4 4)                 R0
MP4      MOUNT-PAD3,0      P3,0                holes                          (96 4)                R0
R1       220               R0603               rcl                            (7.7 41.7)            MR180
R2       220               R0603               rcl                            (7.6 46.1)            MR180
R3       49.9              R0603               rcl                            (23.5 40)             R180
R4       49.9              R0603               rcl                            (23.5 43)             R180
R5       49.9              R0603               rcl                            (23.5 45)             R180
R6       49.9              R0603               rcl                            (23.5 48)             R180
R7       60.4              R0603               rcl                            (53.5 84.5)           R270
R8       60.4              R0603               rcl                            (50.5 84.5)           R90
R9       4K7               R0603               rcl                            (27.5 39)             R270
R10      2K2               R0603               rcl                            (38.5 40.6)           MR0
R11      10K               R0603               rcl                            (60.3 28.3)           R90
R12      4K7               R0603               rcl                            (56.2 30.7)           R0
R13      4K7               R0603               rcl                            (52.3 30.7)           R180
R14      0R                R0603               rcl                            (35.4 73.7)           R0
R15      0R                R0603               rcl                            (39 73.7)             R0
R16      10K               R0603               rcl                            (52 37)               MR270
R17      10K               R0603               rcl                            (60 73)               R270
R18      0R                R0603               rcl                            (63 72)               R180
R19      0R                R0603               rcl                            (63 74)               R180
R20      1K5               R0603               rcl                            (46 69.8)             R270
R21      100               R0603               rcl                            (91.1 22.5)           R180
R22      100               R0603               rcl                            (91.1 33)             R180
R23      100               R0603               rcl                            (91.1 43.5)           R180
R24      100               R0603               rcl                            (91.3 54)             R180
R25      60.4              R0603               rcl                            (46.8 9)              R90
R26      60.4              R0603               rcl                            (44.2 8.9)            R90
R27      374K              R0603               rcl                            (48.4 9)              R90
R28      4K7               R0603               rcl                            (75 22)               R0
R29      4K7               R0603               rcl                            (75 30.5)             R0
R30      374K              R0603               rcl                            (42.1 13.6)           R270
R31      4K7               R0603               rcl                            (75 43)               R0
R32      4K7               R0603               rcl                            (75 53.5)             R0
R33      100               R0603               rcl                            (75 20)               R180
R34      100               R0603               rcl                            (75 32.5)             R180
R35      1K5               R0603               rcl                            (77.5 24)             R90
R36      1K5               R0603               rcl                            (77.5 34.5)           R90
R37      100               R0603               rcl                            (75 41)               R180
R38      1K5               R0603               rcl                            (77.5 45)             R90
R39      1K5               R0603               rcl                            (77.5 55.5)           R90
R40      100               R0603               rcl                            (75 51.5)             R180
R41      1K                R0603               rcl                            (86.3 9)              R90
R42      1K                R0603               rcl                            (73.8 9)              R90
R43      2K7               R0603               rcl                            (57.108 9)            R270
R44      2K7               R0603               rcl                            (52.008 9)            R270
R45      2K7               R0603               rcl                            (63.508 9)            R270
R46      1K                R0603               rcl                            (59.008 9)            R90
R47      1K                R0603               rcl                            (53.908 9)            R90
R48      1K                R0603               rcl                            (61.508 9)            R90
R49      10K               R0603               rcl                            (12.2 8.8)            R270
R50      10K               R0603               rcl                            (19.2 8.8)            R90
R51      10K               R0603               rcl                            (14.8 8.8)            R270
R52      10K               R0603               rcl                            (21.8 8.8)            R90
R53      100               R0603               rcl                            (13.5 59)             R0
R54      100               R0603               rcl                            (13.5 64)             R0
R55      100               R0603               rcl                            (13.5 56.4)           R180
R56      100               R0603               rcl                            (13.5 61.5)           R180
R57      4K7               R0603               rcl                            (32 89.8)             R180
R58      4K7               R0603               rcl                            (28.5 89.85)          R0
R59      1K                R0603               rcl                            (13.5 70.1)           R0
R60      1K                R0603               rcl                            (13.5 72.3)           R0
R61      1K                R0603               rcl                            (13.5 74.85)          R0
R62      1K                R0603               rcl                            (13.5 77.1)           R0
R63      1K                R0603               rcl                            (13.5 79.35)          R0
R64      1K                R0603               rcl                            (13.5 81.9)           R0
R65      100               R0603               rcl                            (13.4 86.1)           R0
R66      100               R0603               rcl                            (19.8 86.2)           R270
R67      31K6              R0603               rcl                            (86.5 83.5)           R180
R68      31K6              R0603               rcl                            (86.5 64.5)           R180
R69      4K7               R0603               rcl                            (89 71)               R270
R70      4K7               R0603               rcl                            (88 15)               R90
R71      52K3              R0603               rcl                            (81 78.5)             R180
R72      10K               R0603               rcl                            (86.5 78.5)           R180
R73      31K6              R0603               rcl                            (80 59.5)             R180
R74      10K               R0603               rcl                            (86.5 59.5)           R180
R75      1K5               R0603               rcl                            (80.5 15)             R90
R76      1K5               R0603               rcl                            (84.5 15)             R90
R77      1K5               R0603               rcl                            (48.35 69.8)          R270
R78      33                R0603               rcl                            (31 8)                R90
R79      33                R0603               rcl                            (32.9 8)              R90
R80      1K5               R0603               rcl                            (34.8 8)              R270
R81      1K5               R0603               rcl                            (29 8)                R270
SW1      B3FS-1050         B3FS                Switch_SMT                     (38.5 79)             R180
SW2      B3FS-1050         B3FS                Switch_SMT                     (63.5 79)             R180
T2       MMBT2222AL        SOT?23              transistor                     (16.9 86.1)           R0
TP1      TPB1,27           B1,27               testpad                        (93.5 64)             R90
TP2      TPB1,27           B1,27               testpad                        (76.5 79)             R90
TP3      TPB1,27           B1,27               testpad                        (60 24)               R0
TP4      TPB1,27           B1,27               testpad                        (90.7 12.2)           R180
TP5      TPB1,27           B1,27               testpad                        (76 60)               R90
TP6      TPB1,27           B1,27               testpad                        (58 24)               R0
U1       DP83848JSQ/NOPB   SQA40B              textas                         (32 44)               R270
U2       MCP2561-E/SN      SOIC127P600X175-8N  Microchip_By_element14_Batch_1 (52 78.5)             R90
U3       AT24C512C-SSHM-B  SOIC127P600X175-8N  atmel                          (53 25.8)             R90
U4       LPC1768FBD100     SOT407-1            NXP                            (52.5 50)             R90
U5       TLV313            SOT23-DBV           ti                             (45 13.5)             R180
U6       SN74LVC2G17DBVR   SOT95P280X145-6N    ti                             (71.4 26.4)           R180
U7       SN74LVC2G17DBVR   SOT95P280X145-6N    ti                             (71.5 46.5)           R180
U8       SN74LVC3G17DCTR   SOP65P400X130-8N    ti                             (59.408 14.3)         R90
U9       SN74LVC3G17DCTR   SOP65P400X130-8N    ti                             (22.7 70.3)           R270
U10      SN74LVC3G17DCTR   SOP65P400X130-8N    ti                             (23 80)               R270
U11      TPL0401A          SC-70-DCK           ti                             (26.5 87)             R0
U12      LT3686HDDPBF      DFN300X300X80-11N   lineartechnology               (83 87)               R90
U13      LT3686HDDPBF      DFN300X300X80-11N   lineartechnology               (83 67.5)             R90
X1       ASE_50            ASE                 crystal                        (34.1 36.3)           R90
X2       FC-135            FC-135              crystal                        (51.5 36.5)           R0
X3       ASE-12            ASE                 crystal                        (57.1 36)             R90
X4       3000              3000                keystone                       (6 18)                MR270
